,track_uri,artist_uri,genres
0,5UGtJ6cy1pk0myJiZ3S8Md,17hR0sYHpx7VYTMRfFUOmY,classical
0,5UGtJ6cy1pk0myJiZ3S8Md,17hR0sYHpx7VYTMRfFUOmY,impressionism
0,5UGtJ6cy1pk0myJiZ3S8Md,17hR0sYHpx7VYTMRfFUOmY,neoclassicism
0,5UGtJ6cy1pk0myJiZ3S8Md,17hR0sYHpx7VYTMRfFUOmY,post-romantic era
1,2yuxVUVg9E7r0V4wv2STyb,1C3sffOOvQNUwg4YIsvKqy,classical
1,2yuxVUVg9E7r0V4wv2STyb,1C3sffOOvQNUwg4YIsvKqy,french romanticism
1,2yuxVUVg9E7r0V4wv2STyb,1C3sffOOvQNUwg4YIsvKqy,late romantic era
2,2LdG9xtEzCho3jCr58M6cq,7Ln80lUS6He07XvHI8qqHH,garage rock
2,2LdG9xtEzCho3jCr58M6cq,7Ln80lUS6He07XvHI8qqHH,permanent wave
2,2LdG9xtEzCho3jCr58M6cq,7Ln80lUS6He07XvHI8qqHH,rock
2,2LdG9xtEzCho3jCr58M6cq,7Ln80lUS6He07XvHI8qqHH,sheffield indie
3,6VLzm03YUeXVl3GdGyib6J,2yzaWNFV3cxmcRZtwtr5WC,early romantic era
3,6VLzm03YUeXVl3GdGyib6J,2yzaWNFV3cxmcRZtwtr5WC,german romanticism
4,3DNRdudZ2SstnDCVKFdXxG,2wOqMjp9TyABvtHdOSOTUS,classical
4,3DNRdudZ2SstnDCVKFdXxG,2wOqMjp9TyABvtHdOSOTUS,classical era
4,3DNRdudZ2SstnDCVKFdXxG,2wOqMjp9TyABvtHdOSOTUS,early romantic era
4,3DNRdudZ2SstnDCVKFdXxG,2wOqMjp9TyABvtHdOSOTUS,german romanticism
5,3843qh8Ih59FwSCDzPigNU,3UlOKNAlGyi7POSE9kyhfR,indonesian folk
5,3843qh8Ih59FwSCDzPigNU,3UlOKNAlGyi7POSE9kyhfR,indonesian folk pop
5,3843qh8Ih59FwSCDzPigNU,3UlOKNAlGyi7POSE9kyhfR,indonesian indie
5,3843qh8Ih59FwSCDzPigNU,3UlOKNAlGyi7POSE9kyhfR,indonesian pop
6,2HYaqJitHc9qiG68vc0JIm,7Ln80lUS6He07XvHI8qqHH,garage rock
6,2HYaqJitHc9qiG68vc0JIm,7Ln80lUS6He07XvHI8qqHH,permanent wave
6,2HYaqJitHc9qiG68vc0JIm,7Ln80lUS6He07XvHI8qqHH,rock
6,2HYaqJitHc9qiG68vc0JIm,7Ln80lUS6He07XvHI8qqHH,sheffield indie
7,0dYebrX5uGJ5waQ2DmKcga,5wm369wshLgPTaW2TDwkus,indonesian indie
7,0dYebrX5uGJ5waQ2DmKcga,5wm369wshLgPTaW2TDwkus,indonesian indie pop
7,0dYebrX5uGJ5waQ2DmKcga,5wm369wshLgPTaW2TDwkus,indonesian psychedelia
8,2LlvrdnLa3XbB1b4jYuCnl,7Ln80lUS6He07XvHI8qqHH,garage rock
8,2LlvrdnLa3XbB1b4jYuCnl,7Ln80lUS6He07XvHI8qqHH,permanent wave
8,2LlvrdnLa3XbB1b4jYuCnl,7Ln80lUS6He07XvHI8qqHH,rock
8,2LlvrdnLa3XbB1b4jYuCnl,7Ln80lUS6He07XvHI8qqHH,sheffield indie
9,1O1o0h6N08plVVmTzBVb9c,5wTAi7QkpP6kp8a54lmTOq,classical
9,1O1o0h6N08plVVmTzBVb9c,5wTAi7QkpP6kp8a54lmTOq,german romanticism
9,1O1o0h6N08plVVmTzBVb9c,5wTAi7QkpP6kp8a54lmTOq,late romantic era
10,0xX7kREWmOGBWzYNcpZwRN,1C3sffOOvQNUwg4YIsvKqy,classical
10,0xX7kREWmOGBWzYNcpZwRN,1C3sffOOvQNUwg4YIsvKqy,french romanticism
10,0xX7kREWmOGBWzYNcpZwRN,1C3sffOOvQNUwg4YIsvKqy,late romantic era
11,2LKeo1yzUtNzgDjregYLrV,2UqjDAXnDxejEyE0CzfUrZ,classical
11,2LKeo1yzUtNzgDjregYLrV,2UqjDAXnDxejEyE0CzfUrZ,early romantic era
11,2LKeo1yzUtNzgDjregYLrV,2UqjDAXnDxejEyE0CzfUrZ,german romanticism
12,4WUnM4KNZ0kjp0CUeoyOnS,1B8ySGDAiXTCvnJNH4HSCG,boy band
12,4WUnM4KNZ0kjp0CUeoyOnS,1B8ySGDAiXTCvnJNH4HSCG,dance pop
12,4WUnM4KNZ0kjp0CUeoyOnS,1B8ySGDAiXTCvnJNH4HSCG,new jack swing
12,4WUnM4KNZ0kjp0CUeoyOnS,1B8ySGDAiXTCvnJNH4HSCG,r&b
12,4WUnM4KNZ0kjp0CUeoyOnS,1B8ySGDAiXTCvnJNH4HSCG,urban contemporary
13,4TwVtW8hS5LyLoDtJGpUOg,1AhjOkOLkbHUfcHDSErXQs,asian american hip hop
13,4TwVtW8hS5LyLoDtJGpUOg,1AhjOkOLkbHUfcHDSErXQs,chill r&b
13,4TwVtW8hS5LyLoDtJGpUOg,1AhjOkOLkbHUfcHDSErXQs,pop
14,3q5xWzw2lHRdcIWGIYvXMa,3mIj9lX2MWuHmhNCA7LSCW,modern alternative rock
14,3q5xWzw2lHRdcIWGIYvXMa,3mIj9lX2MWuHmhNCA7LSCW,modern rock
14,3q5xWzw2lHRdcIWGIYvXMa,3mIj9lX2MWuHmhNCA7LSCW,pop
14,3q5xWzw2lHRdcIWGIYvXMa,3mIj9lX2MWuHmhNCA7LSCW,rock
15,5U7T2widXE5MqoQ6dmi3O9,2UqjDAXnDxejEyE0CzfUrZ,classical
15,5U7T2widXE5MqoQ6dmi3O9,2UqjDAXnDxejEyE0CzfUrZ,early romantic era
15,5U7T2widXE5MqoQ6dmi3O9,2UqjDAXnDxejEyE0CzfUrZ,german romanticism
16,2ub4gjvykpj83458qA6x4x,5TnQc2N1iKlFjYD7CPGvFc,k-pop
16,2ub4gjvykpj83458qA6x4x,5TnQc2N1iKlFjYD7CPGvFc,k-pop boy group
17,3TCkQjDGCaNn0dbC1yWMQ6,0GH4vb2jkC3AVxMChCp1W7,indonesian folk
17,3TCkQjDGCaNn0dbC1yWMQ6,0GH4vb2jkC3AVxMChCp1W7,indonesian folk pop
17,3TCkQjDGCaNn0dbC1yWMQ6,0GH4vb2jkC3AVxMChCp1W7,indonesian indie
17,3TCkQjDGCaNn0dbC1yWMQ6,0GH4vb2jkC3AVxMChCp1W7,indonesian pop
18,1Oo7XEqkrwifJn17aA0ocF,5wTAi7QkpP6kp8a54lmTOq,classical
18,1Oo7XEqkrwifJn17aA0ocF,5wTAi7QkpP6kp8a54lmTOq,german romanticism
18,1Oo7XEqkrwifJn17aA0ocF,5wTAi7QkpP6kp8a54lmTOq,late romantic era
19,6rB2whUL8s2Kt3wIxsnCGf,78ED3zmePoZzEzeBUg0evm,bruneian pop
19,6rB2whUL8s2Kt3wIxsnCGf,78ED3zmePoZzEzeBUg0evm,indonesian pop
20,75eKr0f4d2irzFjKP4OqC9,3FxQst3IlItxaNPGzjl17G,indonesian indie
20,75eKr0f4d2irzFjKP4OqC9,3FxQst3IlItxaNPGzjl17G,indonesian jazz
20,75eKr0f4d2irzFjKP4OqC9,3FxQst3IlItxaNPGzjl17G,indonesian pop
21,1Eb90nmqTrxylKFhcUzW8P,3Z02hBLubJxuFJfhacLSDc,album rock
21,1Eb90nmqTrxylKFhcUzW8P,3Z02hBLubJxuFJfhacLSDc,canadian pop
21,1Eb90nmqTrxylKFhcUzW8P,3Z02hBLubJxuFJfhacLSDc,canadian singer-songwriter
21,1Eb90nmqTrxylKFhcUzW8P,3Z02hBLubJxuFJfhacLSDc,classic canadian rock
21,1Eb90nmqTrxylKFhcUzW8P,3Z02hBLubJxuFJfhacLSDc,heartland rock
21,1Eb90nmqTrxylKFhcUzW8P,3Z02hBLubJxuFJfhacLSDc,mellow gold
21,1Eb90nmqTrxylKFhcUzW8P,3Z02hBLubJxuFJfhacLSDc,rock
21,1Eb90nmqTrxylKFhcUzW8P,3Z02hBLubJxuFJfhacLSDc,soft rock
22,3ci6KfIfr3UiIRgJ3WVYhd,5wTAi7QkpP6kp8a54lmTOq,classical
22,3ci6KfIfr3UiIRgJ3WVYhd,5wTAi7QkpP6kp8a54lmTOq,german romanticism
22,3ci6KfIfr3UiIRgJ3WVYhd,5wTAi7QkpP6kp8a54lmTOq,late romantic era
23,23stCl6tw0qUkUoTQDhGUu,5aIqB5nVVvmFsvSdExz408,baroque
23,23stCl6tw0qUkUoTQDhGUu,5aIqB5nVVvmFsvSdExz408,classical
23,23stCl6tw0qUkUoTQDhGUu,5aIqB5nVVvmFsvSdExz408,early music
23,23stCl6tw0qUkUoTQDhGUu,5aIqB5nVVvmFsvSdExz408,german baroque
24,2CVChktEKBsM6v4IfdFU5k,70NcAr4ZtA3FAqU16iQZSb,chill r&b
24,2CVChktEKBsM6v4IfdFU5k,70NcAr4ZtA3FAqU16iQZSb,nyc pop
25,31swUEisRXt0oEz3iM6MOy,3YYdJZO7kX8nwDzN3YJzdW,indonesian pop
26,4BLgXULWnLcVwaJwRmyIha,1385hLNbrnbCJGokfH2ac2,classical
26,4BLgXULWnLcVwaJwRmyIha,1385hLNbrnbCJGokfH2ac2,late romantic era
27,7gtZ9WU5g1RmhFXnBIgR0D,7zrkFhYAp6dBxsydmJkouN,chill r&b
28,18QVbIw5S0MJHGWF2qLX75,2UqjDAXnDxejEyE0CzfUrZ,classical
28,18QVbIw5S0MJHGWF2qLX75,2UqjDAXnDxejEyE0CzfUrZ,early romantic era
28,18QVbIw5S0MJHGWF2qLX75,2UqjDAXnDxejEyE0CzfUrZ,german romanticism
29,7fa9MBXhVfQ8P8Df9OEbD8,04gDigrS5kc9YWfZHwBETP,pop
29,7fa9MBXhVfQ8P8Df9OEbD8,04gDigrS5kc9YWfZHwBETP,pop rock
30,1nlty288rWFqyCXebR6JHp,3MKCzCnpzw3TjUYs2v7vDA,classical
30,1nlty288rWFqyCXebR6JHp,3MKCzCnpzw3TjUYs2v7vDA,late romantic era
30,1nlty288rWFqyCXebR6JHp,3MKCzCnpzw3TjUYs2v7vDA,russian romanticism
