,endTime,artistName,trackName,msPlayed,uniqueID,inLibrary,album,track_uri
0,2020-09-20 19:26,BOL4,To My Youth,220260,BOL4:To My Youth,0,,
1,2020-09-21 10:29,BTS,Euphoria,228615,BTS:Euphoria,0,,
2,2020-09-21 10:32,V,Sweet Night,214258,V:Sweet Night,0,,
3,2020-09-21 10:36,BTS,Love Maze,221529,BTS:Love Maze,0,,
4,2020-09-21 10:39,Lauv,Who (feat. BTS),180413,Lauv:Who (feat. BTS),0,,
5,2020-09-21 10:43,BTS,Mikrokosmos,224225,BTS:Mikrokosmos,0,,
6,2020-09-21 10:46,IU,BBIBBI,194426,IU:BBIBBI,0,,
7,2020-09-21 10:50,BTS,Your eyes tell,245146,BTS:Your eyes tell,0,,
8,2020-09-21 11:05,SEVENTEEN,Hug,150975,SEVENTEEN:Hug,0,,
9,2020-09-21 11:08,keshi,i swear i'll never leave again,173716,keshi:i swear i'll never leave again,0,,
10,2020-09-21 11:09,CHEN,Beautiful goodbye,16803,CHEN:Beautiful goodbye,0,,
11,2020-09-21 11:11,Eric Nam,I Don't Miss You,172634,Eric Nam:I Don't Miss You,0,,
12,2020-09-21 11:16,BTS,Answer : Love Myself,251279,BTS:Answer : Love Myself,0,,
13,2020-09-21 11:19,TAEYANG,"EYES, NOSE, LIPS",232066,"TAEYANG:EYES, NOSE, LIPS",0,,
14,2020-09-21 11:23,Henry,Monster - English Version,203631,Henry:Monster - English Version,0,,
15,2020-09-21 11:26,Lauv,Never Not,208000,Lauv:Never Not,0,,
16,2020-09-21 11:30,Eric Nam,Love Die Young,203213,Eric Nam:Love Die Young,0,,
17,2020-09-21 12:57,HONNE,Location Unknown ◐,146734,HONNE:Location Unknown ◐,0,,
18,2020-09-21 12:58,BTS,We are Bulletproof : the Eternal,4580,BTS:We are Bulletproof : the Eternal,0,,
19,2020-09-21 12:58,NIKI,lowkey,26720,NIKI:lowkey,0,,
20,2020-09-21 12:59,Roy Kim,Only Then,42350,Roy Kim:Only Then,0,,
21,2020-09-21 13:02,MAX,Blueberry Eyes (feat. SUGA of BTS),172244,MAX:Blueberry Eyes (feat. SUGA of BTS),0,,
22,2020-09-21 13:05,HEIZE,Can You See My Heart,225785,HEIZE:Can You See My Heart,0,,
23,2020-09-21 13:10,Paul Kim,Me After You,280358,Paul Kim:Me After You,0,,
24,2020-09-21 13:13,BOL4,Workaholic,191080,BOL4:Workaholic,0,,
25,2020-09-21 13:16,Crush,Mayday (Feat. Joy),199266,Crush:Mayday (Feat. Joy),0,,
26,2020-09-21 13:20,BOL4,Leo (feat. BAEKHYUN),188000,BOL4:Leo (feat. BAEKHYUN),0,,
27,2020-09-21 13:23,Punch,Say Yes (Feat. Moon Byul of MAMAMOO),204356,Punch:Say Yes (Feat. Moon Byul of MAMAMOO),0,,
28,2020-09-21 13:29,92914,Moonlight,338064,92914:Moonlight,0,,
